GlobalEventsID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	isRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	Goldstien	NumMentions	NumSources	NumArticles	AvgTone	Actor1GeoType	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1GeoADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1GeoFeatureID	Actor2GeoType	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2GeoADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2GeoFeatureID	ActionGeoType	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeoADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeoFeatureID	DateAdded	SourceURL
1210815329	20241119	202411	2024	2024.8740	JUD	SUPREME COURT						JUD			GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	10	1	10	-6.875	4	Manipur, Uttar Pradesh, India	IN	IN36	70268	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	70268	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	70268	27.0529	79.3583	10452605	20241119171500	https://www.devdiscourse.com/article/law-order/3162756-supreme-court-questions-delimitation-delay-in-northeast-india-a-legal-mandate-ignored
1210815330	20241119	202411	2024	2024.8740	JUD	SUPREME COURT						JUD			GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	10	1	10	-1.98019801980198	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20241119171500	https://ipwatchdog.com/2024/11/19/return-mail-becomes-latest-101-petition-denied-scotus/id=183346/
1210815331	20241119	202411	2024	2024.8740	JUD	SUPREME COURT						JUD			GOV	GOVERNMENT						GOV			1	0234	023	02	1	3.4	10	1	10	-1.98019801980198	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20241119171500	https://ipwatchdog.com/2024/11/19/return-mail-becomes-latest-101-petition-denied-scotus/id=183346/
1210815332	20241119	202411	2024	2024.8740	JUD	JUDGE						JUD			GOV	GOVERNMENT						GOV			1	141	141	14	3	-6.5	10	1	10	-1.86046511627907	5	Ondo State, Ondo, Nigeria	NI	NI48	22976	7.16667	5.08333	-2023650	5	Ondo State, Ondo, Nigeria	NI	NI48	22976	7.16667	5.08333	-2023650	5	Ondo State, Ondo, Nigeria	NI	NI48	22976	7.16667	5.08333	-2023650	20241119171500	https://www.premiumtimesng.com/regional/ssouth-west/755602-ondo-loses-appeal-against-n30m-court-judgement-awarded-to-man-shot-by-amotekun.html
1210815333	20241119	202411	2024	2024.8740	JUD	SUPREME COURT						JUD			IND	DELHI	IND								0	081	081	08	2	5.0	1	1	1	1.48957298907646	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20241119171500	https://aninews.in/news/national/politics/they-have-no-agenda-beyond-removing-me-arvind-kejriwal-attacks-bjp20241119222847/
1210815334	20241119	202411	2024	2024.8740	JUD	SUPREME COURT						JUD			IND	DELHI	IND								0	081	081	08	2	5.0	2	1	2	1.48957298907646	4	Tihar, Uttar Pradesh, India	IN	IN36	17917	26.3521	79.2158	10454667	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Tihar, Uttar Pradesh, India	IN	IN36	17917	26.3521	79.2158	10454667	20241119171500	https://aninews.in/news/national/politics/they-have-no-agenda-beyond-removing-me-arvind-kejriwal-attacks-bjp20241119222847/
1210815335	20241119	202411	2024	2024.8740	JUD	JUDGE						JUD			MOS	ISLAM				MOS					1	164	164	16	4	-7.0	8	1	8	-2.94840294840295	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20241119171500	https://www.thedailystar.net/news/bangladesh/crime-justice/news/suspended-exchanging-greetings-3756756
1210815336	20241119	202411	2024	2024.8740	JUD	JUDGE						JUD			USA	UNITED STATES	USA								0	013	013	01	1	0.4	2	1	2	-7.3170731707317	3	Gwinnett County, Georgia, United States	US	USGA	GA135	33.9501	-84.0499	1688166	3	Gwinnett County, Georgia, United States	US	USGA		33.9501	-84.0499	1688166	3	Gwinnett County, Georgia, United States	US	USGA		33.9501	-84.0499	1688166	20241119171500	https://legalnewsline.com/stories/665890812-1-7b-georgia-verdict-reversed-ford-can-now-present-proper-defense
1210815337	20241119	202411	2024	2024.8740	JUD	ATTORNEY						JUD			USA	UNITED STATES	USA								1	036	036	03	1	4.0	8	1	8	-6.85483870967742	3	Macon County, Illinois, United States	US	USIL	IL115	39.8667	-88.9667	424256	3	Macon County, Illinois, United States	US	USIL		39.8667	-88.9667	424256	3	Macon County, Illinois, United States	US	USIL		39.8667	-88.9667	424256	20241119171500	https://newschannel20.com/news/local/police-investigate-decatur-shooting-as-35-year-old-man-unlawfully-enters-home-is-shot
1210815338	20241119	202411	2024	2024.8740	JUD	ATTORNEY						JUD			USA	CHICAGO	USA								0	043	043	04	1	2.8	5	1	5	0.44910179640719	3	Willow Springs, Illinois, United States	US	USIL	IL031	41.7409	-87.8603	421269	3	Willow Springs, Illinois, United States	US	USIL		41.7409	-87.8603	421269	3	Willow Springs, Illinois, United States	US	USIL		41.7409	-87.8603	421269	20241119171500	https://patch.com/illinois/lagrange/lths-officials-review-closed-door-recordings
