GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
1207023729	20241029231500	20241029231500	1	stcatharinesstandard.ca	https://www.stcatharinesstandard.ca/politics/federal/the-prime-minister-is-out-of-touch-justin-trudeaus-handgun-ban-is-not-working-police/article_fb0957d0-fbea-5df6-9efa-dfc1778baf37.html	8	1339	-1	1348	0	20	6004	-4.14507772020725		
1207023730	20241029231500	20241029231500	1	centralmaine.com	https://www.centralmaine.com/2024/10/29/911-transcript-details-call-reporting-freedom-carbon-monoxide-deaths/	5	1817	-1	2026	0	20	4073	-2.60492040520984		
1205456974	20241022001500	20241029231500	1	thetimes.com	https://www.thetimes.com/uk/politics/article/talk-of-leaks-caps-and-holes-spins-heads-like-washing-machines-kfz7zbftq	14	3223	-1	3237	0	10	4826	-3.19634703196347		
1205467689	20241022010000	20241029231500	1	kvia.com	https://kvia.com/news/business-technology/cnn-business-consumer/2024/10/29/americas-largest-newspaper-chain-including-usa-today-wont-endorse-in-2024-presidential-race/	9	2211	-1	2280	1	80	4424	0.95628415300546		
1205467689	20241022010000	20241029231500	1	wthitv.com	https://www.wthitv.com/news/america-s-largest-newspaper-chain-including-usa-today-won-t-endorse-in-2024-presidential-race/article_e841344f-b5f8-5a4a-a3f4-711f409658e1.html	9	2193	-1	2262	1	80	4402	0.960219478738		
1207007420	20241029210000	20241029231500	1	ideastream.org	https://www.ideastream.org/2024-10-29/days-before-ohioans-vote-larose-sues-homeland-security-to-access-databases-to-check-citizenship	8	2342	2521	2515	0	20	2412	-3.3175355450237		
1207007421	20241029210000	20241029231500	1	ideastream.org	https://www.ideastream.org/2024-10-29/days-before-ohioans-vote-larose-sues-homeland-security-to-access-databases-to-check-citizenship	8	2342	2398	2370	0	20	2412	-3.3175355450237		
1205485740	20241022033000	20241029231500	1	thetimes.com	https://www.thetimes.com/uk/politics/article/talk-of-leaks-caps-and-holes-spins-heads-like-washing-machines-kfz7zbftq	14	3378	3352	3220	1	50	4826	-3.19634703196347		
1207023731	20241029231500	20241029231500	1	capitalgazette.com	https://www.capitalgazette.com/2024/10/29/progressives-bracing-for-unrest-should-trump-win-election-report-says/	9	2016	2096	2007	0	40	2072	-3.34346504559271		
1205538625	20241022100000	20241029231500	1	capitalgazette.com	https://www.capitalgazette.com/2024/10/29/progressives-bracing-for-unrest-should-trump-win-election-report-says/	9	2016	2049	1970	0	40	2072	-3.34346504559271		
1207023732	20241029231500	20241029231500	1	ft.lk	https://www.ft.lk/top-story/AKD-banks-on-delicate-balance-of-businesses/26-768562	7	-1	1761	1771	1	50	3358	1.04166666666667		
1207023733	20241029231500	20241029231500	1	ft.lk	https://www.ft.lk/top-story/AKD-banks-on-delicate-balance-of-businesses/26-768562	7	-1	1761	1708	1	50	3358	1.04166666666667		
1207023734	20241029231500	20241029231500	1	ft.lk	https://www.ft.lk/top-story/AKD-banks-on-delicate-balance-of-businesses/26-768562	7	1761	-1	1708	1	50	3358	1.04166666666667		
1206781171	20241028194500	20241029231500	1	ft.lk	https://www.ft.lk/news/Govt-launches-probe-into-UK-High-Commissioner-s-expenses-amid-scrutiny-of-diplomatic-appointments/56-768563	3	319	458	353	1	100	1273	-0.53191489361702		
1207023735	20241029231500	20241029231500	1	malaya.com.ph	https://malaya.com.ph/news/national-news/sc-stops-transfer-of-philhealth-funds/	2	68	185	172	1	100	5681	2.3972602739726		
1207023736	20241029231500	20241029231500	1	malaya.com.ph	https://malaya.com.ph/news/national-news/sc-stops-transfer-of-philhealth-funds/	2	68	185	92	1	100	5681	2.3972602739726		
1207023737	20241029231500	20241029231500	1	malaya.com.ph	https://malaya.com.ph/news/national-news/index-crimes-dropped-by-61-8from-july-2022-to-2024-pnp/	1	75	250	222	1	30	3472	-3.38983050847457		
1206814652	20241029000000	20241029231500	1	peacefmonline.com	https://www.peacefmonline.com/pages/local/social/202410/511644.php	11	-1	2349	2398	0	20	4593	-2.97927461139896		
1207022546	20241029230000	20241029231500	1	ocregister.com	https://www.ocregister.com/2024/10/29/how-a-night-of-mate-swapping-leads-an-la-woman-on-a-new-path-in-olive-days/	1	-1	338	379	1	60	5429	1.47347740667976		
1207022546	20241029230000	20241029231500	1	whittierdailynews.com	https://www.whittierdailynews.com/2024/10/29/how-a-night-of-mate-swapping-leads-an-la-woman-on-a-new-path-in-olive-days/	1	-1	334	375	1	60	5429	1.47347740667976		
1207023738	20241029231500	20241029231500	1	ocregister.com	https://www.ocregister.com/2024/10/29/how-a-night-of-mate-swapping-leads-an-la-woman-on-a-new-path-in-olive-days/	1	-1	338	379	0	40	5429	1.47347740667976		
1207022547	20241029230000	20241029231500	1	whittierdailynews.com	https://www.whittierdailynews.com/2024/10/29/how-a-night-of-mate-swapping-leads-an-la-woman-on-a-new-path-in-olive-days/	1	-1	334	375	0	40	5429	1.47347740667976		
1206828311	20241029011500	20241029231500	1	womansworld.com	https://www.womansworld.com/entertainment/2024-gaf-great-american-christmas-lineup-full-movie-list	3	-1	836	886	0	20	4334	3.54223433242507		
1206993939	20241029193000	20241029231500	1	manningrivertimes.com.au	https://www.manningrivertimes.com.au/story/8805837/renewed-push-for-cruel-wasteful-dying-law-shakeup/?cs=9397	19	-1	3413	3381	0	40	4548	-5.50964187327824		
1206993939	20241029193000	20241029231500	1	busseltonmail.com.au	https://www.busseltonmail.com.au/story/8805847/cadillac-unveils-its-first-australian-experience-centre/?cs=34616	5	-1	1355	1272	0	20	4808	1.61507402422611		
1206993939	20241029193000	20241029231500	1	dungogchronicle.com.au	https://www.dungogchronicle.com.au/story/8805847/cadillac-unveils-its-first-australian-experience-centre/?cs=34616	5	-1	1347	1264	0	20	4799	1.48648648648649		
1206819044	20241029001500	20241029231500	1	dailymail.co.uk	https://www.dailymail.co.uk/news/article-14017225/St-Pauls-college-bullying-incident-Sickening-new-details-emerge.html	3	-1	626	636	0	40	3958	-2.53164556962025		
1207019060	20241029223000	20241029231500	1	busseltonmail.com.au	https://www.busseltonmail.com.au/story/8805891/coffs-harbour-police-officer-accused-of-assault-during-an-arrest/?cs=2826	1	-1	25	48	0	80	811	-6.92307692307692		
1207019060	20241029223000	20241029231500	1	busseltonmail.com.au	https://www.busseltonmail.com.au/story/8805891/coffs-harbour-police-officer-accused-of-assault-during-an-arrest/?cs=30776	1	-1	25	48	0	80	811	-6.92307692307692		
1207019060	20241029223000	20241029231500	1	busseltonmail.com.au	https://www.busseltonmail.com.au/story/8805891/coffs-harbour-police-officer-accused-of-assault-during-an-arrest/	1	-1	25	48	0	80	811	-6.92307692307692		
1207019061	20241029223000	20241029231500	1	busseltonmail.com.au	https://www.busseltonmail.com.au/story/8805891/coffs-harbour-police-officer-accused-of-assault-during-an-arrest/?cs=30776	1	-1	25	59	0	80	811	-6.92307692307692		
1207019061	20241029223000	20241029231500	1	busseltonmail.com.au	https://www.busseltonmail.com.au/story/8805891/coffs-harbour-police-officer-accused-of-assault-during-an-arrest/	1	-1	25	59	0	80	811	-6.92307692307692		
1207019061	20241029223000	20241029231500	1	busseltonmail.com.au	https://www.busseltonmail.com.au/story/8805891/coffs-harbour-police-officer-accused-of-assault-during-an-arrest/?cs=2826	1	-1	25	59	0	80	811	-6.92307692307692		
1207023739	20241029231500	20241029231500	1	newsday.com	https://www.newsday.com/long-island/crime/nassau-police-misconduct-trial-robert-besedin-rw5x1gcv	15	-1	3044	3069	0	10	5559	-9.04925544100802		
1207023740	20241029231500	20241029231500	1	newsday.com	https://www.newsday.com/long-island/crime/nassau-police-misconduct-trial-robert-besedin-rw5x1gcv	15	-1	3044	3096	0	10	5559	-9.04925544100802		
1206815089	20241029000000	20241029231500	1	capitalgazette.com	https://www.capitalgazette.com/2024/10/29/annapolis-man-charged-with-attempted-manslaughter-after-shooting-at-franks-den/	4	-1	704	590	1	100	2994	-11.7894736842105		
